Date,Time,Src IP,Dst IP,Byte Size
2024-03-27,14:25:51,"('10.3.141.126', 33290)","('52.49.77.114', 443)",[29]
2024-03-27,14:25:51,"('10.3.141.126', 33296)","('52.49.77.114', 443)",[690]
2024-03-27,14:25:51,"('10.3.141.126', 33296)","('52.49.77.114', 443)",[29]
2024-03-27,14:26:05,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:26:05,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:26:05,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:26:34,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:26:34,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:26:34,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:26:34,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:27:03,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:27:03,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:27:03,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:27:32,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:27:32,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:27:32,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:28:01,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:28:01,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:28:01,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:28:30,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:28:30,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:28:30,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:28:59,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:28:59,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:28:59,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:29:28,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:29:28,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:29:28,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:29:57,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:29:57,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:29:57,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:30:26,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:30:26,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:30:26,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:30:53,"('52.49.77.114', 443)","('10.3.141.126', 45542)",[590]
2024-03-27,14:30:54,"('10.3.141.126', 45542)","('52.49.77.114', 443)","[690, 29]"
2024-03-27,14:30:54,"('52.49.77.114', 443)","('10.3.141.126', 45558)",[501]
2024-03-27,14:30:54,"('10.3.141.126', 45558)","('52.49.77.114', 443)",[690]
2024-03-27,14:30:54,"('10.3.141.126', 45558)","('52.49.77.114', 443)",[29]
2024-03-27,14:30:55,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:30:55,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:30:55,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:30:55,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:31:24,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:31:24,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:31:24,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:31:24,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:31:53,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:31:53,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:31:53,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:31:53,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:32:22,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:32:22,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:32:22,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:32:22,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
