Date,Time,Src IP,Dst IP,Byte Size
2024-04-11,10:38:06,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[29]
2024-04-11,10:38:06,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[690]
2024-04-11,10:38:06,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[29]
2024-04-11,10:38:06,"('54.171.223.163', 443)","('10.3.141.126', 43078)",[599]
2024-04-11,10:38:06,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[690]
2024-04-11,10:38:06,"('10.3.141.126', 43078)","('54.171.223.163', 443)",[29]
2024-04-11,10:38:12,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[28]
2024-04-11,10:38:12,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[56]
2024-04-11,10:38:12,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[28]
2024-04-11,10:38:12,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[60]
2024-04-11,10:38:41,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[28]
2024-04-11,10:38:41,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[56]
2024-04-11,10:38:41,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[28]
2024-04-11,10:38:41,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[60]
2024-04-11,10:38:52,"('10.3.141.228', 49554)","('13.225.63.111', 443)","[122, 1, 27]"
2024-04-11,10:38:52,"('13.225.63.111', 443)","('10.3.141.228', 49554)","[1, 53]"
2024-04-11,10:38:52,"('13.225.63.111', 443)","('10.3.141.228', 49554)",[110]
2024-04-11,10:38:52,"('10.3.141.228', 49554)","('13.225.63.111', 443)",[141]
2024-04-11,10:38:52,"('10.3.141.228', 49554)","('13.225.63.111', 443)",[517]
2024-04-11,10:38:52,"('13.225.63.111', 443)","('10.3.141.228', 49554)",[19]
2024-04-11,10:39:10,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[28]
2024-04-11,10:39:10,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[56]
2024-04-11,10:39:10,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[28]
2024-04-11,10:39:10,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[60]
2024-04-11,10:39:19,"('18.221.234.99', 443)","('10.3.141.92', 49194)",[96]
2024-04-11,10:39:19,"('10.3.141.92', 49194)","('18.221.234.99', 443)",[64]
2024-04-11,10:39:29,"('34.248.114.245', 443)","('10.3.141.107', 49153)",[256]
2024-04-11,10:39:29,"('10.3.141.107', 49153)","('34.248.114.245', 443)",[416]
2024-04-11,10:39:32,"('52.223.21.95', 443)","('10.3.141.107', 49155)",[336]
2024-04-11,10:39:32,"('10.3.141.107', 49155)","('52.223.21.95', 443)",[384]
2024-04-11,10:39:33,"('52.223.21.95', 443)","('10.3.141.107', 49156)",[480]
2024-04-11,10:39:33,"('10.3.141.107', 49156)","('52.223.21.95', 443)",[288]
2024-04-11,10:39:33,"('52.223.21.95', 443)","('10.3.141.107', 49156)",[480]
2024-04-11,10:39:33,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:39:33,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[144]
2024-04-11,10:39:33,"('10.3.141.107', 49156)","('52.223.21.95', 443)",[336]
2024-04-11,10:39:33,"('52.223.21.95', 443)","('10.3.141.107', 49156)",[480]
2024-04-11,10:39:33,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:39:34,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:39:34,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[176]
2024-04-11,10:39:34,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:39:34,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:39:34,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[176]
2024-04-11,10:39:34,"('10.3.141.107', 49156)","('52.223.21.95', 443)",[336]
2024-04-11,10:39:34,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:39:34,"('52.223.21.95', 443)","('10.3.141.107', 49156)",[480]
2024-04-11,10:39:34,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:39:34,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[176]
2024-04-11,10:39:34,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
