Date,Time,Src IP,Dst IP,Byte Size
2024-04-11,07:56:04,"('54.221.178.44', 443)","('10.3.141.106', 49088)",[28]
2024-04-11,07:56:04,"('54.221.178.44', 443)","('10.3.141.106', 49088)",[56]
2024-04-11,07:56:04,"('10.3.141.106', 49088)","('54.221.178.44', 443)","[28, 60]"
2024-04-11,07:56:33,"('54.221.178.44', 443)","('10.3.141.106', 49088)",[28]
2024-04-11,07:56:33,"('54.221.178.44', 443)","('10.3.141.106', 49088)",[56]
2024-04-11,07:56:33,"('10.3.141.106', 49088)","('54.221.178.44', 443)","[28, 60]"
2024-04-11,07:56:35,"('10.3.141.228', 57638)","('13.225.63.7', 443)","[122, 1, 27]"
2024-04-11,07:56:35,"('13.225.63.7', 443)","('10.3.141.228', 57638)","[1, 53]"
2024-04-11,07:56:35,"('13.225.63.7', 443)","('10.3.141.228', 57638)",[110]
2024-04-11,07:56:35,"('10.3.141.228', 57638)","('13.225.63.7', 443)",[141]
2024-04-11,07:56:35,"('10.3.141.228', 57638)","('13.225.63.7', 443)",[496]
2024-04-11,07:56:35,"('13.225.63.7', 443)","('10.3.141.228', 57638)",[19]
2024-04-11,07:57:02,"('54.221.178.44', 443)","('10.3.141.106', 49088)",[28]
2024-04-11,07:57:02,"('54.221.178.44', 443)","('10.3.141.106', 49088)",[56]
2024-04-11,07:57:02,"('10.3.141.106', 49088)","('54.221.178.44', 443)",[28]
2024-04-11,07:57:02,"('10.3.141.106', 49088)","('54.221.178.44', 443)",[60]
2024-04-11,07:57:31,"('54.221.178.44', 443)","('10.3.141.106', 49088)",[28]
2024-04-11,07:57:31,"('54.221.178.44', 443)","('10.3.141.106', 49088)",[56]
2024-04-11,07:57:31,"('10.3.141.106', 49088)","('54.221.178.44', 443)",[28]
2024-04-11,07:57:31,"('10.3.141.106', 49088)","('54.221.178.44', 443)",[60]
2024-04-11,07:57:35,"('10.3.141.228', 34588)","('13.225.63.129', 443)","[122, 1, 27]"
2024-04-11,07:57:35,"('13.225.63.129', 443)","('10.3.141.228', 34588)","[1, 53]"
2024-04-11,07:57:35,"('13.225.63.129', 443)","('10.3.141.228', 34588)",[110]
2024-04-11,07:57:35,"('10.3.141.228', 34588)","('13.225.63.129', 443)",[141]
2024-04-11,07:57:35,"('10.3.141.228', 34588)","('13.225.63.129', 443)",[517]
2024-04-11,07:57:35,"('13.225.63.129', 443)","('10.3.141.228', 34588)",[19]
2024-04-11,07:57:43,"('18.221.234.99', 443)","('10.3.141.92', 49180)",[96]
2024-04-11,07:57:43,"('10.3.141.92', 49180)","('18.221.234.99', 443)",[64]
2024-04-11,07:57:48,"('34.246.3.157', 443)","('10.3.141.107', 49153)",[256]
2024-04-11,07:57:48,"('10.3.141.107', 49153)","('34.246.3.157', 443)",[416]
2024-04-11,07:57:48,"('35.71.188.139', 443)","('10.3.141.107', 49155)",[336]
2024-04-11,07:57:48,"('10.3.141.107', 49155)","('35.71.188.139', 443)",[384]
